Position,Country_2000,q_2000,Country_2010,q_2010,Country_2020,q_2020
135,Ukraine,0.1494,Antigua and Barbuda,0.1642,St. Vincent and the Grenadines,0.1716
136,Morocco,0.149,Lebanon,0.1642,Eswatini,0.1685
137,Sao Tome and Principe,0.1449,Turkiye,0.1619,Myanmar,0.1653
138,Haiti,0.1447,Kuwait,0.1596,"Bahamas, The",0.1648
139,Cabo Verde,0.1437,Guinea,0.1515,St. Kitts and Nevis,0.1625
140,"Egypt, Arab Rep.",0.1437,Eswatini,0.1506,Guinea,0.1584
141,Comoros,0.1419,Grenada,0.1493,Tunisia,0.1574
142,Nigeria,0.1405,Trinidad and Tobago,0.1487,Liberia,0.1571
143,Trinidad and Tobago,0.1371,Cote d'Ivoire,0.1486,Kuwait,0.1561
144,Myanmar,0.1358,Qatar,0.1474,Cabo Verde,0.1559
145,Saudi Arabia,0.1354,Myanmar,0.1453,South Africa,0.1553
146,Central African Republic,0.1293,Belarus,0.1452,Bosnia and Herzegovina,0.15
147,Mongolia,0.1284,Uganda,0.1439,Liechtenstein,0.1488
148,Uganda,0.1279,Seychelles,0.1432,Botswana,0.1486
149,Belarus,0.1277,Angola,0.137,Suriname,0.1465
150,"Gambia, The",0.127,Burkina Faso,0.1361,Jordan,0.145
151,South Africa,0.123,Liberia,0.1358,Palau,0.1449
152,Guinea,0.1225,Algeria,0.1356,Mali,0.1441
153,Burundi,0.1212,Russian Federation,0.1352,Turkmenistan,0.1434
154,Moldova,0.1209,Sudan,0.1337,Niger,0.1404
155,Benin,0.1177,Uzbekistan,0.1323,Bangladesh,0.1356
156,Qatar,0.1162,Turkmenistan,0.1304,Pakistan,0.1344
157,Syrian Arab Republic,0.1159,Cameroon,0.1222,Trinidad and Tobago,0.1315
158,Pakistan,0.1146,Mongolia,0.1203,Saudi Arabia,0.1311
159,Mali,0.1133,Senegal,0.12,"Gambia, The",0.131
160,Bangladesh,0.1041,"Gambia, The",0.1178,Comoros,0.1258
161,Liberia,0.1031,"Congo, Dem. Rep.",0.1149,"Egypt, Arab Rep.",0.1227
162,Afghanistan,0.1026,South Africa,0.1094,Nigeria,0.1227
163,Rwanda,0.1022,Central African Republic,0.1062,Sao Tome and Principe,0.1214
164,Palau,0.099,Benin,0.1035,Oman,0.1196
165,Bahrain,0.0981,Nigeria,0.1029,"Congo, Dem. Rep.",0.1174
166,Guyana,0.0981,Bangladesh,0.1021,Djibouti,0.1174
167,Oman,0.0968,Comoros,0.1016,Algeria,0.1171
168,Algeria,0.0959,Guyana,0.1015,Guinea-Bissau,0.1171
169,Djibouti,0.094,"Egypt, Arab Rep.",0.1014,Lebanon,0.1158
170,Russian Federation,0.0919,Niger,0.1004,St. Lucia,0.1055
171,Sierra Leone,0.0885,Afghanistan,0.0957,Zimbabwe,0.1032
172,"Iran, Islamic Rep.",0.0865,Pakistan,0.0935,Benin,0.1014
173,Burkina Faso,0.0855,Guinea-Bissau,0.0912,Afghanistan,0.0969
174,South Sudan,0.0775,Kosovo,0.0866,India,0.0954
175,Nauru,0.0767,Haiti,0.0841,Cameroon,0.089
176,Turkmenistan,0.0753,Eritrea,0.0798,Bahrain,0.0811
177,Niger,0.0733,Syrian Arab Republic,0.0792,Central African Republic,0.0808
178,Uzbekistan,0.0718,Bahrain,0.0776,Burkina Faso,0.0793
179,Sudan,0.0656,Djibouti,0.0766,Kosovo,0.075
180,Guinea-Bissau,0.0652,"Congo, Rep.",0.0749,"Iran, Islamic Rep.",0.0698
181,India,0.0651,Oman,0.0748,Mauritania,0.0666
182,Eritrea,0.0646,Saudi Arabia,0.074,Eritrea,0.0638
183,Iraq,0.0639,"Iran, Islamic Rep.",0.0693,Haiti,0.0638
184,Libya,0.0543,India,0.0668,Sudan,0.0542
185,Senegal,0.0437,Palau,0.0578,South Sudan,0.0501
186,Angola,0.0431,South Sudan,0.0548,Iraq,0.0372
187,Mauritania,0.033,Iraq,0.0469,Gabon,0.0261
188,Gabon,0.0311,Libya,0.0458,"Congo, Rep.",0.0251
189,"Yemen, Rep.",0.0266,Mauritania,0.0281,Syrian Arab Republic,-0.008
190,"Congo, Rep.",0.0048,Gabon,0.0082,Libya,-0.0195
191,Chad,0.0045,Chad,-0.0343,Somalia,-0.0245
192,Somalia,-0.0345,"Yemen, Rep.",-0.0365,Chad,-0.031
193,Equatorial Guinea,-0.0511,Equatorial Guinea,-0.0671,Equatorial Guinea,-0.0368
194,"Congo, Dem. Rep.",-0.0527,Somalia,-0.0776,"Yemen, Rep.",-0.052
