Position,Country_2000,q_2000,Country_2010,q_2010,Country_2020,q_2020
130,Togo,0.1127,Liechtenstein,0.1675,Togo,0.2162
131,Montenegro,0.1122,St. Vincent and the Grenadines,0.1671,Guyana,0.2153
132,Kazakhstan,0.1115,Tunisia,0.1669,Antigua and Barbuda,0.2143
133,Azerbaijan,0.1096,Jordan,0.1666,Lesotho,0.2123
134,Kuwait,0.109,Botswana,0.1656,Senegal,0.2121
135,Ukraine,0.1063,Antigua and Barbuda,0.1642,St. Vincent and the Grenadines,0.2114
136,Morocco,0.1058,Lebanon,0.1642,Eswatini,0.2081
137,Sao Tome and Principe,0.1011,Turkiye,0.1619,Myanmar,0.2048
138,Haiti,0.1009,Kuwait,0.1596,"Bahamas, The",0.2042
139,"Egypt, Arab Rep.",0.0999,Guinea,0.1515,St. Kitts and Nevis,0.2018
140,Cabo Verde,0.0998,Eswatini,0.1506,Guinea,0.1975
141,Comoros,0.0978,Grenada,0.1493,Tunisia,0.1964
142,Nigeria,0.0962,Trinidad and Tobago,0.1487,Liberia,0.1961
143,Trinidad and Tobago,0.0923,Cote d'Ivoire,0.1486,Kuwait,0.195
144,Myanmar,0.0909,Qatar,0.1474,Cabo Verde,0.1948
145,Saudi Arabia,0.0905,Myanmar,0.1453,South Africa,0.1941
146,Central African Republic,0.0836,Belarus,0.1452,Bosnia and Herzegovina,0.1886
147,Mongolia,0.0826,Uganda,0.1439,Liechtenstein,0.1872
148,Uganda,0.082,Seychelles,0.1432,Botswana,0.187
149,Belarus,0.0818,Angola,0.137,Suriname,0.1848
150,"Gambia, The",0.081,Burkina Faso,0.1361,Jordan,0.1833
151,South Africa,0.0765,Liberia,0.1358,Palau,0.1832
152,Guinea,0.076,Algeria,0.1356,Mali,0.1822
153,Burundi,0.0745,Russian Federation,0.1352,Turkmenistan,0.1816
154,Moldova,0.0741,Sudan,0.1337,Niger,0.1784
155,Benin,0.0706,Uzbekistan,0.1323,Bangladesh,0.1732
156,Qatar,0.0689,Turkmenistan,0.1304,Pakistan,0.172
157,Syrian Arab Republic,0.0685,Cameroon,0.1222,Trinidad and Tobago,0.169
158,Pakistan,0.067,Mongolia,0.1203,Saudi Arabia,0.1685
159,Mali,0.0656,Senegal,0.12,"Gambia, The",0.1684
160,Bangladesh,0.0553,"Gambia, The",0.1178,Comoros,0.1629
161,Liberia,0.0541,"Congo, Dem. Rep.",0.1149,"Egypt, Arab Rep.",0.1596
162,Afghanistan,0.0535,South Africa,0.1094,Nigeria,0.1596
163,Rwanda,0.0531,Central African Republic,0.1062,Sao Tome and Principe,0.1582
164,Palau,0.0495,Benin,0.1035,Oman,0.1563
165,Bahrain,0.0485,Nigeria,0.1029,"Congo, Dem. Rep.",0.154
166,Guyana,0.0485,Bangladesh,0.1021,Djibouti,0.154
167,Oman,0.0471,Comoros,0.1016,Guinea-Bissau,0.1537
168,Algeria,0.046,Guyana,0.1015,Algeria,0.1536
169,Djibouti,0.0439,"Egypt, Arab Rep.",0.1014,Lebanon,0.1522
